2026-08-02 17:17:32 | INFO     | __main__ | main.py:1184 | FastAPI 服务已启动: http://0.0.0.0:8093
2026-08-02 17:17:32 | INFO     | __main__ | main.py:1459 | 模式: 仅 Web 服务
2026-08-02 17:17:32 | INFO     | __main__ | main.py:1460 | Web 服务运行中: http://0.0.0.0:8093
2026-08-02 17:17:32 | INFO     | __main__ | main.py:1461 | 通过 /api/v1/analysis/analyze 接口触发分析
2026-08-02 17:17:32 | INFO     | __main__ | main.py:1462 | API 文档: http://0.0.0.0:8093/docs
2026-08-02 17:17:32 | INFO     | __main__ | main.py:1463 | 按 Ctrl+C 退出...
2026-08-02 17:17:40 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 127.0.0.1:57021 - "GET / HTTP/1.1" 200
2026-08-02 17:18:29 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 127.0.0.1:57039 - "GET / HTTP/1.1" 200
2026-08-02 17:18:29 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 127.0.0.1:57041 - "GET / HTTP/1.1" 200
2026-08-02 17:19:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 149.154.161.244:0 - "GET / HTTP/1.1" 200
2026-08-02 17:19:16 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 180.230.39.203:0 - "GET / HTTP/1.1" 200
2026-08-02 17:19:17 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 180.230.39.203:0 - "GET / HTTP/1.1" 200
2026-08-02 17:21:46 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 127.0.0.1:57065 - "GET / HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET / HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET /assets/index-BgWxGpYI.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50238 - "GET /assets/vendor-react-BzB2o5Ol.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50239 - "GET /assets/vendor-DfNvL7Zg.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50242 - "GET /assets/index-4u5LI3wI.css HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50241 - "GET /assets/vendor-router-DUil8rt8.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50240 - "GET /assets/vendor-icons-0GWoHdPQ.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET /api/v1/auth/status HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50241 - "GET /vite.svg HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50240 - "GET /assets/HomePage-D7-w0Kdn.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50241 - "GET /assets/DashboardStateBlock-DvRLUL2k.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50238 - "GET /assets/EmptyState-BkIarL0m.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET /assets/reportLanguage-CjCKbJql.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50242 - "GET /assets/InlineAlert-F-FzaacY.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50239 - "GET /assets/Button-DK6C3i8o.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50241 - "GET /assets/StockAutocomplete-DtnF1soW.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50238 - "GET /assets/useStockIndex-acEjvYl1.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50239 - "GET /assets/decisionAction-ZTeZCsX1.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50242 - "GET /assets/Badge-BphwNKPS.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET /assets/Card-08rsoSG0.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50240 - "GET /assets/vendor-markdown-D_i7slVd.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50238 - "GET /assets/Input-DdF1dNks.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET /assets/marketPhase-CFwblj6S.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50241 - "GET /assets/Tooltip-Ddd3e4q-.js HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50239 - "GET /api/v1/screening/status HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | src.agent.skills.base | src/agent/skills/base.py:360 | Loaded 15 built-in skills from /Users/hyunkeunlim/workspace/daily-stock-analysis/strategies
2026-08-02 17:22:11 | INFO     | src.agent.factory | src/agent/factory.py:236 | [AgentFactory] SkillManager prototype cached (15 skills)
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET /api/v1/agent/skills HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50242 - "GET /stocks.index.json?_t=496016 HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | src.services.task_queue | src/services/task_queue.py:207 | [TaskQueue] 初始化完成，最大并发: 3
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50240 - "GET /api/v1/system/config/setup/status HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET /api/v1/analysis/tasks?status=pending,processing,cancel_requested&limit=100 HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | src.storage | src/storage.py:1575 | [DecisionSignal] decision_profile migration stats: candidate_count=0 backfilled_count=0 guard_skipped_count=0 missing_metadata_count=0 missing_profile_count=0 invalid_json_count=0 non_object_count=0 invalid_profile_count=0 skipped_existing_profile_count=0
2026-08-02 17:22:11 | INFO     | src.storage | src/storage.py:1369 | 数据库初始化完成: sqlite:////Users/hyunkeunlim/workspace/daily-stock-analysis/data/stock_analysis.db
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50238 - "GET /api/v1/history/stocks?start_date=2026-05-04&end_date=2026-08-02 HTTP/1.1" 200
2026-08-02 17:22:11 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50241 - "GET /api/v1/history?page=1&limit=20&start_date=2026-07-03&end_date=2026-08-02 HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50237 - "GET /api/v1/analysis/tasks/stream HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50238 - "GET /api/v1/analysis/tasks?status=pending,processing,cancel_requested&limit=100 HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50239 - "GET /api/v1/history?page=1&limit=10&stock_code=MARKET&report_type=market_review HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50240 - "GET /api/v1/stocks/watchlist HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50238 - "GET /api/v1/history?page=1&limit=1&stock_code=000660 HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50241 - "GET /api/v1/history?page=1&limit=1&stock_code=005930 HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50240 - "GET /api/v1/history?page=1&limit=1&stock_code=035420 HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50239 - "GET /api/v1/history?page=1&limit=1&stock_code=373220 HTTP/1.1" 200
2026-08-02 17:22:12 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50238 - "GET /api/v1/history?page=1&limit=1&stock_code=005380 HTTP/1.1" 200
2026-08-02 17:22:36 | INFO     | api.v1.endpoints.analysis | api/v1/endpoints/analysis.py:551 | [MarketReview] component=market_review action=submit trigger_source=api task_id=e6588b1cf5594e2d8f9fd99a4975ed81 region=cn send_notification=True
2026-08-02 17:22:36 | WARNING  | src.notification | src/notification.py:338 | 未配置有效的通知渠道，将不发送推送通知
2026-08-02 17:22:36 | INFO     | src.search_service | src/search_service.py:2344 | 已启用 SearXNG 公共实例自动发现模式
2026-08-02 17:22:36 | INFO     | uvicorn.access | venv/lib/python3.12/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.219.111:50278 - "POST /api/v1/analysis/market-review HTTP/1.1" 202
2026-08-02 17:22:36 | INFO     | src.search_service | src/search_service.py:2360 | 新闻时效策略已启用: profile=short, profile_days=3, NEWS_MAX_AGE_DAYS=3, effective_window=3
